Debrecen: Pontszám - 20, Gólkülönbség - -6
Diósgyőr: Pontszám - 21, Gólkülönbség - -12
Ferencváros: Pontszám - 30, Gólkülönbség - 7
Gyirmót: Pontszám - 13, Gólkülönbség - -23
Haladás: Pontszám - 26, Gólkülönbség - -1
Honvéd: Pontszám - 34, Gólkülönbség - 15
MTK: Pontszám - 20, Gólkülönbség - -9
Mezőkövesd: Pontszám - 27, Gólkülönbség - -1
Paks: Pontszám - 23, Gólkülönbség - -6
Ujpest: Pontszám - 27, Gólkülönbség - 4
Vasas: Pontszám - 34, Gólkülönbség - 12
Videoton: Pontszám - 34, Gólkülönbség - 20
